"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","LTM Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Total Debt","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"CS Disco","LAW","$5.99","$370,000,000","Jun 2025","$38,110,000","$152,440,000","$148,024,000","5.84%","2.43","61,769,616","2021","2013","Kent Radford, Gabe Krambs","Houston, Texas, United States","-$9,330,000","-$37,320,000","14.99%","-24.48%","-$10,810,000","-$43,240,000","0.20%","-28.37%","$114,490,000","-11.93%","$9,301,000.00","Sapphire Ventures, Bessemer Venture Partners","$235 million","561","$271,700","Application for legal professionals, offering eDiscovery and litigation support services.","","","http://www.csdisco.com","http://ir.csdisco.com","https://www.sec.gov/Archives/edgar/data/1625641/000119312521200525/d176601ds1.htm","https://www.sec.gov/Archives/edgar/data/1625641/000162564124000043/law-20231231.htm"
"CSG International","CSGS","$64.84","$1,865,000,000","Jun 2025","$297,130,000","$1,188,520,000","$1,208,376,000","2.35%","1.57","28,763,109","1996","1982","Neal Hansen","Englewood, Colorado, United States","$55,710,000","$222,840,000","22.63%","18.75%","$12,270,000","$49,080,000","-11.30%","4.13%","$145,880,000","32.09%","$574,584,000.00","Accel-KKR, Warburg Pincus","N/A","5800","$204,900","Revenue management, customer experience, and digital monetization.","","","http://www.csgi.com","http://ir.csgi.com","","https://www.sec.gov/Archives/edgar/data/1005757/000095017024016286/csgs-20231231.htm"
"CyberArk","CYBR","$475.94","$23,991,000,000","Jun 2025","$328,030,000","$1,312,120,000","$1,200,117,000","45.98%","18.28","50,407,614","2014","1999","Udi Mokady, Alon N. Cohen, and Ehud Mokady","Newton, Massachusetts, United States","-$3,080,000","-$12,320,000","84.55%","-0.94%","-$90,830,000","-$363,320,000","-602.84%","-27.69%","$1,540,000,000","9.90%","$11,107,000.00","JVP, Vertex Venture Capital, Jerusalem Venture Partners","$40 million","3793","$345,900","Cybersecurity solutions to protect against cyber threats and unauthorized accesses.","","","http://www.cyberark.com","http://investors.cyberark.com","",""
"Datadog","DDOG","$134.60","$46,939,000,000","Jun 2025","$826,760,000","$3,307,040,000","$3,016,056,000","28.12%","14.19","348,729,569","2019","2010","Olivier Pomel, Alexis Lê-Quôc","New York City, New York, United States","-$22,680,000","-$90,720,000","-190.50%","-2.74%","$2,650,000","$10,600,000","-93.96%","0.32%","$3,910,000,000","32.12%","$1,842,180,000.00","Index Ventures, ICONIQ Capital","$148.7 million.","6500","$508,800","Monitoring and analytics for website and app infrastructure, applications, and web logs.","","","http://www.datadoghq.com","http://investors.datadoghq.com","https://www.sec.gov/Archives/edgar/data/1561550/000119312519227783/d745413ds1.htm","https://www.sec.gov/Archives/edgar/data/1561550/000156155024000009/ddog-20231231.htm"
"Descartes Systems","DSGX","$101.86","$8,713,000,000","Jul 2025","$179,820,000","$719,280,000","$684,781,000","10.03%","12.11","85,538,975","1999","1981","Edward J. Ryan","Waterloo, Ontario, Canada","$75,310,000","$301,240,000","16.21%","41.88%","$38,020,000","$152,080,000","9.63%","21.14%","$240,630,000","-4.76%","$7,896,000.00","Wellington Management Company, Fidelity Investments","$20 million","2079","$346,000","Logistics and supply chain management solutions, including route planning, fleet management, and customs compliance.","","","http://www.descartes.com","http://www.descartes.com/who-we-are/investor-relations","",""
"Digital Turbine","APPS","$5.34","$577,000,000","Jun 2025","$130,930,000","$523,720,000","$503,443,000","10.96%","1.10","108,052,434","2006","1998","Bill Stone, Rob Deutschman","Austin, Texas, United States","$18,870,000","$75,480,000","196.71%","14.41%","-$14,100,000","-$56,400,000","43.93%","-10.77%","$33,430,000","-6.44%","$418,188,000.00","J.P. Morgan Securities LLC, Stephens Inc.","$50 million","647","$809,500","Mobile app platform enabling app developers to reach users through personalized recommendations and targeted advertising.","","","http://www.digitalturbine.com","http://ir.digitalturbine.com","https://www.sec.gov/Archives/edgar/data/317788/000114420416130337/v451432_s1.htm","https://www.sec.gov/Archives/edgar/data/317788/000162828024025455/apps-20240331.htm"
"DigitalOcean","DOCN","$36.33","$3,307,000,000","Jun 2025","$218,700,000","$874,800,000","$832,812,000","13.62%","3.78","91,026,700","2021","2011","Ben Uretsky, Moisey Uretsky, Jeff Carr, Alec Hartman, Mitch Wainer","New York City, United States","$61,950,000","$247,800,000","17.56%","28.33%","$37,030,000","$148,120,000","93.47%","16.93%","$387,740,000","-12.49%","$1,695,132,000.00","Access Industries, Andreessen Horowitz, IA Ventures, Andreessen Horowitz Cultural Leadership Fund","$547 million","1210","$723,000","Virtual servers, web hosting, storage, and networking solutions for developers and businesses.","","","http://www.digitalocean.com","http://investors.digitalocean.com","https://www.sec.gov/Archives/edgar/data/1582961/000119312521055798/d898181ds1.htm","https://www.sec.gov/Archives/edgar/data/1582961/000158296124000031/docn-20231231.htm"
"Docebo","DCBO","$29.86","$1,175,000,000","Jun 2025","$60,730,000","$242,920,000","$230,502,000","14.47%","4.84","39,350,301","2020","2005","Claudio Erba","Toronto, Ontario, Canada","$6,440,000","$25,760,000","6.78%","10.60%","$3,080,000","$12,320,000","-34.53%","5.07%","$64,580,000","-21.33%","$1,495,000.00","Klass Capital, Intercap Equity Inc.","$21 million","991","$245,100","Learning management system (LMS) for the creation, management, and delivery of online training and e-learning courses.","","","http://www.docebo.com","http://www.docebo.inc","",""
"DocuSign","DOCU","$81.71","$16,432,000,000","Jul 2025","$800,640,000","$3,202,560,000","$3,095,362,000","8.78%","5.13","201,101,456","2018","2003","Tom Gonser, Court Lorenzini, Eric Ranft","San Francisco, California, United States","$111,510,000","$446,040,000","54.83%","13.93%","$62,970,000","$251,880,000","-92.91%","7.86%","$844,460,000","-10.01%","$124,427,000.00","Accel Partners, Bain Capital Ventures, Sigma Partners","$443 million","6838","$468,300","Electronic signature software","","","http://www.docusign.com","http://investor.docusign.com","https://www.sec.gov/Archives/edgar/data/1261333/000119312518099555/d506878ds1.htm","https://www.sec.gov/Archives/edgar/data/1261333/000126133324000045/docu-20240131.htm"
"Domo","DOMO","$16.87","$696,000,000","Jul 2025","$79,720,000","$318,880,000","$317,052,000","1.67%","2.18","41,256,669","2018","2010","Josh James","American Fork, Utah, United States","-$4,950,000","-$19,800,000","65.12%","-6.21%","-$22,930,000","-$91,720,000","-17.66%","-28.76%","$47,140,000","-9.35%","$131,094,000.00","Benchmark Capital, BlackRock, GGV Capital, Greylock Partners, IVP, TPG Growth","$690 million","888","$359,100","Business intelligence and data visualization.","","","http://www.domo.com","http://www.domoinvestors.com","https://www.sec.gov/Archives/edgar/data/1505952/000162828018007487/domoincs-1.htm","https://www.sec.gov/Archives/edgar/data/1505952/000150595224000015/domo-20240131.htm"
"Donnelley Financial Solutions","DFIN","$53.43","$1,469,000,000","Jun 2025","$218,100,000","$872,400,000","$755,000,000","-10.14%","1.68","27,493,917","2016","1983","R.R. Donnelley & Sons Company","Chicago, Illinois, United States","$54,600,000","$218,400,000","-19.11%","25.03%","$36,100,000","$144,400,000","-18.14%","16.55%","$33,800,000","-3.43%","$141,400,000.00","Blackstone Group, Vista Equity Partners","N/A","1800","$484,700","Financial reporting, regulatory compliance, and financial data analytics.","","","http://www.dfinsolutions.com","http://investor.dfinsolutions.com","https://www.sec.gov/Archives/edgar/data/1669811/000119312517095623/d364339ds1.htm","https://www.sec.gov/Archives/edgar/data/1669811/000095017024017094/dfin-20231231.htm"
"DoubleVerify","DV","$12.93","$2,116,000,000","Jun 2025","$189,020,000","$756,080,000","$714,259,000","21.25%","2.80","163,650,425","2021","2008","Oren Netzer, Eli Weissbuch","New York City, United States","$28,240,000","$112,960,000","28.08%","14.94%","$8,760,000","$35,040,000","17.18%","4.63%","$216,790,000","-36.02%","$91,669,000.00","Providence Equity Partners","$350 million","1197","$631,600","Digital media measurement and analytics for digital advertising.","","","http://www.doubleverify.com","http://ir.doubleverify.com","https://www.sec.gov/Archives/edgar/data/1819928/000104746921000623/a2243008zs-1.htm","https://www.sec.gov/Archives/edgar/data/1819928/000155837024002008/dv-20231231x10k.htm"
"Doximity","DOCS","$72.08","$13,501,000,000","Jun 2025","$145,910,000","$583,640,000","$589,636,000","15.19%","23.13","187,305,771","2021","2010","Jeff Tangney, Nate Gross","San Francisco, California, United States","$55,780,000","$223,120,000","17.39%","38.23%","$53,320,000","$213,280,000","28.86%","36.54%","$840,970,000","12.06%","$12,396,000.00","Morgan Stanley, T. Rowe Price, Baillie Gifford","$319 million","830","$703,200","Healthcare collaboration, patient data management, and healthcare job opportunities.","","","http://www.doximity.com","http://investors.doximity.com","https://www.sec.gov/Archives/edgar/data/1516513/000162828021011269/doximity-sx1.htm","https://www.sec.gov/Archives/edgar/data/1516513/000151651324000035/docs-20240331.htm"
"Dropbox","DBX","$32.17","$8,681,000,000","Jun 2025","$625,700,000","$2,502,800,000","$2,532,800,000","-1.39%","3.47","269,847,684","2018","2007","Drew Houston, Arash Ferdowsi","San Francisco, California, United States","$211,200,000","$844,800,000","32.50%","33.75%","$125,600,000","$502,400,000","13.67%","20.07%","$954,700,000","-10.15%","$2,996,600,000.00","Sequoia Capital, Accel Partners, Index Ventures","$1.7 billion","2204","$1,135,600","File storage and file synchronization application.","","","http://www.dropbox.com","http://dropbox.gcs-web.com","https://www.sec.gov/Archives/edgar/data/1467623/000119312518055809/d451946ds1.htm","https://www.sec.gov/Archives/edgar/data/1467623/000146762324000008/dbx-20231231.htm"
"Duolingo","DUOL","$280.74","$12,864,000,000","Jun 2025","$252,260,000","$1,009,040,000","$885,152,000","41.46%","12.75","45,821,757","2021","2011","Luis von Ahn, Severin Hacker","Pittsburgh, Pennsylvania, United States","$37,490,000","$149,960,000","76.19%","14.86%","$44,780,000","$179,120,000","83.90%","17.75%","$1,100,000,000","23.60%","$54,656,000.00","CapitalG, New Enterprise Associates and General Atlantic","$150 million","830","$1,215,700","Language-learning platform that gamifies the process of acquiring new languages through interactive lessons and exercises.","","","http://www.duolingo.com","http://investors.duolingo.com/investor-relations","https://www.sec.gov/Archives/edgar/data/1562088/000162828021013065/duolingos-1.htm","https://www.sec.gov/Archives/edgar/data/1562088/000156208824000050/duol-20231231.htm"
"Dynatrace","DT","$47.82","$14,418,000,000","Jun 2025","$477,350,000","$1,909,400,000","$1,776,812,000","19.57%","7.55","301,505,646","2019","2005","Bernd Greifeneder, Alois Reitbauer, Peter Putz","Waltham, Massachusetts, United States","$67,960,000","$271,840,000","31.64%","14.24%","$47,960,000","$191,840,000","24.17%","10.05%","$1,350,000,000","32.97%","$75,363,000.00","Thoma Bravo","$168 million","5200","$367,200","Website and application performance monitoring software","","","http://www.dynatrace.com","http://ir.dynatrace.com","https://www.sec.gov/Archives/edgar/data/1773383/000119312519189566/d668054ds1.htm","https://www.sec.gov/Archives/edgar/data/1773383/000177338324000076/dt-20240331.htm"
"eGain","EGAN","$8.92","$240,000,000","Jun 2025","$23,230,000","$92,920,000","$87,659,000","3.44%","2.58","26,905,830","1999","1997","Ashutosh Roy, Gunjan Sinha","Sunnyvale, California, United States","$3,340,000","$13,360,000","159.94%","14.38%","$30,860,000","$123,440,000","1949.47%","132.85%","$62,910,000","-10.13%","$3,771,000.00","Sequoia Capital, Technology Crossover Ventures","$60 million","542","$171,400","Customer engagement solutions, including AI-powered virtual assistants, knowledge management, and analytics.","","","http://www.egain.com","http://www.egain.com/company/investors/","","https://www.sec.gov/Archives/edgar/data/1066194/000155837024012767/egan-20240630x10k.htm"
"Elastic NV","ESTC","$86.54","$9,197,000,000","Jul 2025","$415,290,000","$1,661,160,000","$1,551,164,000","19.53%","5.54","106,274,555","2018","2012","Shay Banon, Steven Schuurman, Simon Willnauer, and Uri Boness","Mountain View, California, United States","-$7,120,000","-$28,480,000","75.83%","-1.71%","-$24,600,000","-$98,400,000","50.02%","-5.92%","$1,490,000,000","30.24%","$595,014,000.00","Benchmark Capital, Index Ventures, New Enterprise Associates (NEA), Future Fund","$162 million","3711","$447,600","Open-source software suite that enables search, logging, and analytics.","","","http://www.elastic.co","http://ir.elastic.co","https://www.sec.gov/Archives/edgar/data/1707753/000119312518266861/d588632ds1.htm","https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/estc-20240430.htm"
"Eventbrite","EB","$2.79","$269,000,000","Jun 2025","$72,760,000","$291,040,000","$300,856,000","-13.95%","0.92","96,415,771","2018","2006","Kevin Hartz, Julia Hartz, Renaud Visage","San Francisco, California, United States","-$4,320,000","-$17,280,000","49.66%","-5.94%","-$2,110,000","-$8,440,000","-298.21%","-2.90%","$490,500,000","-22.41%","$243,167,000.00","T. Rowe Price, Tiger Global Management, Sequoia Capital","$330 million","748","$389,100","Event management platform that allows users to create, promote, and sell tickets for events online.","","","http://www.eventbrite.com","http://investor.eventbrite.com","https://www.sec.gov/Archives/edgar/data/1475115/000119312518255960/d593770ds1.htm","https://www.sec.gov/Archives/edgar/data/1475115/000147511524000042/eb-20231231.htm"
"EverCommerce","EVCM","$11.72","$2,125,000,000","Jun 2025","$148,020,000","$592,080,000","$641,547,000","5.33%","3.59","181,313,993","2021","2012","Eric Remer, Amber Remer","Denver, Colorado, United States","$29,890,000","$119,560,000","7.53%","20.19%","$8,150,000","$32,600,000","341.50%","5.51%","$151,060,000","74.24%","$527,942,000.00","Providence Equity Partners","$241 million","2000","$296,000","Marketing and business management platform for service-based industries.","","","http://www.evercommerce.com","http://investors.evercommerce.com","https://www.sec.gov/Archives/edgar/data/1853145/000114036121019260/nt10022251x4_s1.htm","https://www.sec.gov/Archives/edgar/data/1853145/000185314524000026/evcm-20231231.htm"
"Expensify","EXFY","$1.92","$178,000,000","Jun 2025","$35,760,000","$143,040,000","$144,251,000","7.44%","1.24","92,708,333","2021","2008","David Barrett","San Francisco, California, United States","-$10,180,000","-$40,720,000","-1954.28%","-28.47%","-$8,790,000","-$35,160,000","-217.95%","-24.58%","$60,520,000","13.68%","$6,467,000.00","OpenView Venture Partners, Redpoint Ventures","$38.9 million","115","$1,243,800","Expense management application that automates expense reporting, receipt tracking, and reimbursement processes.","","","http://www.expensify.com","http://ir.expensify.com","https://www.sec.gov/Archives/edgar/data/1476840/000162828021020115/expensifys-1.htm","https://www.sec.gov/Archives/edgar/data/1476840/000147684024000016/exfy-20231231.htm"
"F5 Networks","FFIV","$323.73","$18,597,000,000","Jun 2025","$780,370,000","$3,121,480,000","$2,939,781,000","12.20%","5.96","57,446,020","1999","1996","Judith A. Estrin, Jeffrey S. Hussey, Alan J. Higginson, Michael L. Malcolm","Seattle, Washington, United States","$218,910,000","$875,640,000","15.24%","28.05%","$189,910,000","$759,640,000","31.81%","24.34%","$1,430,000,000","52.51%","$249,564,000.00","Sequoia Capital, Madrona Venture Group","$10 million","6114","$510,500","Application delivery and security solutions, including load balancing, traffic management, and application security.","","","http://www.f5.com","http://investors.f5.com","","https://www.sec.gov/Archives/edgar/data/1048695/000104869524000185/ffiv-20240930.htm"
"Fastly","FSLY","$8.42","$1,241,000,000","Jun 2025","$148,710,000","$594,840,000","$570,968,000","12.34%","2.09","147,387,173","2019","2011","Artur Bergman, Simon Wistow, and Gil Penchina","San Francisco, California, United States","-$22,090,000","-$88,360,000","24.82%","-14.85%","-$37,540,000","-$150,160,000","14.15%","-25.24%","$321,210,000","3.03%","$404,658,000.00","August Capital, Battery Ventures, Iconiq Capital, O'Reilly AlphaTech Ventures, Amplify Partners","$219 million","1100","$540,800","Enterprise content delivery network (CDN).","","","http://www.fastly.com","http://investors.fastly.com","https://www.sec.gov/Archives/edgar/data/1517413/000119312519111675/d702138ds1.htm","https://www.sec.gov/Archives/edgar/data/1517413/000151741324000048/fsly-20231231.htm"
"Figma","FIG","$53.67","$26,286,000,000","Jun 2025","$249,640,000","$998,560,000","$811,266,000","40.88%","26.32","489,770,822","2025","2012","Dylan Field, Evan Wallace","San Francisco, California, United States","$5,690,000","$22,760,000","100.64%","2.28%","$846,000","$3,384,000","100.10%","0.34%","$1,590,000,000","–","$28,770,000.00","Index Ventures, Greylock Partners","$333 million","1736","$575,200","Collaborative web-based vector graphics and UI/UX design platform with real-time editing and prototyping tools.","","","http://www.figma.com","https://investor.figma.com/","https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm",""
"FiscalNote Holdings","NOTE","$4.35","$62,000,000","Jun 2025","$23,260,000","$93,040,000","$115,665,000","-20.45%","0.67","14,252,874","2022","2013","Timothy Hwang, Gerald Yao, Jonathan Chen","Washington, D.C., United States","$65,000","$260,000","101.24%","0.28%","-$13,270,000","-$53,080,000","-3.97%","-57.05%","$38,520,000","2.16%","$172,953,000.00","Revolution Growth, Renren, Green Visor Capital","$30 million","456","$204,000","Helps organizations track and analyze government regulations and policies.","","","http://www.fiscalnote.com","http://investors.fiscalnote.com","https://www.sec.gov/Archives/edgar/data/1823466/000095010320019390/dp137951_s1.htm","https://www.sec.gov/Archives/edgar/data/1823466/000095017024031826/note-20231231.htm"
"Five9","FIVN","$25.50","$1,970,000,000","Jun 2025","$283,270,000","$1,133,080,000","$1,105,816,000","12.37%","1.74","77,254,902","2014","2001","Wendell R. Anderson, Brian Silverman, David T. Van Everen","San Ramon, California, United States","$22,950,000","$91,800,000","457.15%","8.10%","$1,150,000","$4,600,000","109.00%","0.41%","$635,880,000","-42.52%","$1,233,130,000.00","Sapphire Ventures, Bessemer Venture Partners","$74 million","3073","$368,700","Contact center software that offers features like omnichannel routing, workforce optimization, and AI-powered virtual agents.","","","http://www.five9.com","http://investors.five9.com","https://www.sec.gov/Archives/edgar/data/1288847/000119312514078791/d626745ds1.htm","https://www.sec.gov/Archives/edgar/data/1288847/000128884724000012/fivn-20231231.htm"
"Fortinet","FTNT","$79.78","$61,133,000,000","Jun 2025","$1,630,000,000","$6,520,000,000","$6,337,900,000","13.64%","9.38","766,269,742","2009","2000","Ken Xie, Michael Xie, and Yan Kei-Ming","Sunnyvale, California, United States","$495,000,000","$1,980,000,000","6.41%","30.37%","$440,100,000","$1,760,400,000","15.88%","27.00%","$4,560,000,000","36.64%","$994,300,000.00","Redpoint Ventures, Meritech Capital Partners, Acorn Campus Ventures","$93 million","14898","$437,600","Cybersecurity solutions, including firewalls, VPNs, and antivirus software.","","","http://www.fortinet.com","http://investor.fortinet.com","https://www.sec.gov/Archives/edgar/data/1262039/000119312509169817/ds1.htm","https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm"
"Freshworks","FRSH","$12.56","$3,660,000,000","Jun 2025","$204,680,000","$818,720,000","$782,097,000","17.54%","4.47","291,401,274","2021","2010","Girish Mathrubootham, Shan Krishnasamy","San Mateo, California, United States","-$4,010,000","-$16,040,000","90.33%","-1.96%","-$1,740,000","-$6,960,000","91.38%","-0.85%","$926,200,000","-9.12%","$38,294,000.00","Accel, Tiger Global Management, Sequoia Capital","$400 million","4400","$186,100","Customer engagement tools, including customer support, CRM, and marketing automation.","","","http://www.freshworks.com","http://ir.freshworks.com","https://www.sec.gov/Archives/edgar/data/1544522/000162828021017717/freshworkss-1.htm","https://www.sec.gov/Archives/edgar/data/1544522/000154452224000012/frsh-20231231.htm"
"Gen Digital","GEN","$28.60","$17,614,000,000","Jul 2025","$1,260,000,000","$5,040,000,000","$3,935,000,000","30.26%","3.49","615,874,126","1989","1982","Gary Hendrix, Anthony Antonuccio","Tempe, Arizona, United States","$621,000,000","$2,484,000,000","33.55%","49.29%","$135,000,000","$540,000,000","-25.41%","10.71%","$828,000,000","28.57%","$8,315,000,000.00","Snowden Capital Advisors, Brewin Dolphin","N/A","3500","$1,440,000","Cybersecurity and identity theft protection software and services to consumers and businesses","","","http://www.gendigital.com","http://investor.gendigital.com","","https://www.sec.gov/Archives/edgar/data/849399/000084939924000036/gen-20240329.htm"
"Genius Sports","GENI","$12.27","$3,104,000,000","Jun 2025","$118,720,000","$474,880,000","$558,439,000","24.38%","6.54","252,974,735","2021","2000","Mark Locke, William MacMullan","London, England","-$51,060,000","-$204,240,000","-569.95%","-43.01%","-$53,950,000","-$215,800,000","-147.56%","-45.44%","$221,560,000","201.29%","$7,511,000.00","Apax Partners, Brunswick Capital, Three Hills Capital Partners","$1.5 billion","1850","$256,700","Sports data and other solutions for sports leagues, teams, and sports media organizations.","","","http://www.geniussports.com","http://investors.geniussports.com","",""
"GitLab","GTLB","$50.31","$8,387,000,000","Jul 2025","$235,960,000","$943,840,000","$857,947,000","29.23%","8.89","166,706,420","2021","2011","Sid Sijbrandij, Dmitriy Zaporozhets","San Francisco, California, United States","-$17,580,000","-$70,320,000","56.31%","-7.45%","-$9,210,000","-$36,840,000","-171.31%","-3.90%","$1,170,000,000","7.58%","$392,000.00","Sequoia Capital, Khosla Ventures, Google Ventures","$426 million","2375","$397,400","Version control, CI/CD pipelines, issue tracking, and collaboration tools for developers.","","","http://www.gitlab.com","http://ir.gitlab.com","https://www.sec.gov/Archives/edgar/data/1653482/000162828021018818/gitlab-sx1.htm","https://www.sec.gov/Archives/edgar/data/1653482/000162828024012963/gtlb-20240131.htm"
"Godaddy","GDDY","$144.14","$19,956,000,000","Jun 2025","$1,220,000,000","$4,880,000,000","$4,752,100,000","8.28%","4.09","138,448,730","2015","1997","Bob Parsons","Scottsdale, Arizona, United States","$296,900,000","$1,187,600,000","20.06%","24.34%","$199,900,000","$799,600,000","36.64%","16.39%","$1,150,000,000","96.38%","$3,894,700,000.00","KKR, Silver Lake Partners, Technology Crossover Ventures","$2.2 billion","5518","$884,400","Domain registration, web hosting, and online marketing services, enabling individuals and businesses to establish and grow their online presence","","","http://www.godaddy.com","http://aboutus.godaddy.net/investor-relations","https://www.sec.gov/Archives/edgar/data/1609711/000119312514230425/d728713ds1.htm","https://www.sec.gov/Archives/edgar/data/1609711/000160971124000022/gddy-20231231.htm"
"Guidewire Software","GWRE","$246.40","$20,828,000,000","Jul 2025","$356,570,000","$1,426,280,000","$1,137,404,000","22.32%","14.60","84,529,221","2012","2001","Marcus Ryu, Ken Branson, John Raguin","San Mateo, California, United States","$35,820,000","$143,280,000","176.47%","10.05%","$51,950,000","$207,800,000","209.99%","14.57%","$1,150,000,000","12.54%","$442,919,000.00","Bain Capital Ventures, U.S. Venture Partners, Battery Ventures","$65 million","3596","$396,600","Solutions for the insurance industry, including claims management, policy administration, and billing.","","","http://www.guidewire.com","http://ir.guidewire.com","https://www.sec.gov/Archives/edgar/data/1528396/000119312511240194/ds1.htm","https://www.sec.gov/Archives/edgar/data/1528396/000152839624000105/gwre-20240731.htm"
"Health Catalyst","HCAT","$2.88","$203,000,000","Jun 2025","$80,720,000","$322,880,000","$316,093,000","6.35%","0.63","70,486,111","2019","2008","Steven C. Barlow, Thomas D. Burton, Dale Sanders, Paul Horstmeier","Salt Lake City, Utah, United States","-$1,980,000","-$7,920,000","47.14%","-2.45%","-$40,980,000","-$163,920,000","-203.18%","-50.77%","$97,340,000","-68.42%","$402,265,000.00","OrbiMed Advisors, Sequoia Capital, Norwest Venture Partners, Sands Capital Ventures","$377 million","1500","$215,300","Healthcare analytics platform to help organizations improve patient outcomes and reduce costs.","","","http://www.healthcatalyst.com","http://ir.healthcatalyst.com","https://www.sec.gov/Archives/edgar/data/1636422/000162828019008426/healthcatalysts-1.htm","https://www.sec.gov/Archives/edgar/data/1636422/000163642224000016/hcat-20231231.htm"
"HubSpot","HUBS","$502.55","$26,481,000,000","Jun 2025","$760,870,000","$3,043,480,000","$2,847,902,000","19.40%","8.70","52,693,264","2014","2006","Brian Halligan, Dharmesh Shah","Cambridge, Massachusetts, United States","-$18,720,000","-$74,880,000","-1.41%","-2.46%","-$3,260,000","-$13,040,000","77.43%","-0.43%","$1,670,000,000","-3.81%","$745,416,000.00","General Catalyst, Matrix Partners","$100 million","8723","$348,900","Large variety of tools for marketing, sales, and customer service, both SMB and Enterprise focused.","","","http://www.hubspot.com","http://ir.hubspot.com","https://www.sec.gov/Archives/edgar/data/1404655/000119312514320044/d697256ds1.htm","https://www.sec.gov/Archives/edgar/data/1404655/000095017024015277/hubs-20231231.htm"
"Informatica","INFA","$24.80","$7,557,000,000","Jun 2025","$407,340,000","$1,629,360,000","$1,662,027,000","1.68%","4.64","304,717,742","2021","1993","Gaurav Dhillon, Diaz Nesamoney, and Sanjay Poonen","Redwood City, California, United States","$28,420,000","$113,680,000","-38.14%","6.98%","-$4,650,000","-$18,600,000","-196.29%","-1.14%","$1,300,000,000","15.07%","$1,860,608,000.00","Silver Lake Partners, Microsoft","$71 million","5200","$313,300","Data integration and data management solutions.","","","http://www.informatica.com","http://investors.informatica.com","https://www.sec.gov/Archives/edgar/data/1868778/000119312521300476/d169828ds1a.htm","https://www.sec.gov/Archives/edgar/data/1868778/000186877824000006/infa-20231231.htm"
"Integral Ad Science","IAS","$8.36","$1,389,000,000","Jun 2025","$149,200,000","$596,800,000","$569,836,000","15.66%","2.33","166,148,325","2021","2009","Scott Knoll, Will Luttrell","New York City, New York, United States","$24,130,000","$96,520,000","-0.59%","16.17%","$16,410,000","$65,640,000","113.37%","11.00%","$90,690,000","28.45%","$57,747,000.00","August Capital, Sapphire Ventures","$116 million","902","$661,600","Digital ad verification and distribution solutions geared at brand safety, viewability, and ad fraud detection.","","","http://www.integralads.com","http://investors.integralads.com","https://www.sec.gov/Archives/edgar/data/1842718/000119312521181985/d35256ds1.htm","https://www.sec.gov/Archives/edgar/data/1842718/000184271824000013/ias-20231231.htm"
"Intellicheck","IDN","$5.39","$108,000,000","Jun 2025","$5,120,000","$20,480,000","$20,663,000","9.65%","5.27","20,037,106","1999","1994","William Roof","Melville, New York, United States","-$127,000","-$508,000","10.56%","-2.48%","-$251,000","-$1,004,000","-97.64%","-4.90%","$8,570,000","18.09%","$0.00","Crosslink Capital, Hudson Bay Capital Management","$15 million","47","$435,700","Identity verification solutions, including ID authentication, age verification, and fraud prevention.","","","http://www.intellicheck.com","http://www.intellicheck.com/investors","https://www.sec.gov/Archives/edgar/data/1040896/000114420414075072/v396872_s1.htm","https://www.sec.gov/Archives/edgar/data/1040896/000162828024013949/idn-20231231.htm"
"Intuit","INTU","$651.30","$181,586,000,000","Jul 2025","$3,830,000,000","$15,320,000,000","$18,184,000,000","20.32%","11.85","278,805,466","1993","1983","Scott Cook, Tom Proulx","Mountain View, California, United States","$504,000,000","$2,016,000,000","106.56%","13.16%","$381,000,000","$1,524,000,000","2005.00%","9.95%","$4,550,000,000","11.73%","$6,567,000,000.00","Sequoia Capital","$1.3 million","18800","$814,900","Main application is QuickBooks, a financial management tool for accounting, invoicing, and tax preparation.","","","http://www.intuit.com","http://investors.intuit.com","","https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm"
"Jamf","JAMF","$11.32","$1,504,000,000","Jun 2025","$176,500,000","$706,000,000","$666,382,000","15.35%","2.13","132,862,191","2020","2002","Zach Halmstad, Chip Pearson","Minneapolis, Minnesota, United States","$3,960,000","$15,840,000","187.00%","2.24%","-$20,880,000","-$83,520,000","-8.37%","-11.83%","$481,540,000","139.74%","$369,514,000.00","Vista Equity Partners","$49 million","2595","$272,100","Apple device management software that helps organizations manage and secure their Apple devices, with features like device deployment, inventory management, and security controls.","","","http://www.jamf.com","http://ir.jamf.com","https://www.sec.gov/Archives/edgar/data/1721947/000104746920003905/a2241939zs-1.htm","https://www.sec.gov/Archives/edgar/data/1721947/000162828024007212/jamf-20231231.htm"
